4.89,4.27,4.89,4.89,-2.44,-2.44,-2.45,-1.83,0.61,1.22,0.61,0.61,4.27,3.67,4.27,4.27,-3.05,-3.05,-3.06,-3.05
5.5,4.27,4.89,4.89,-1.83,-2.44,-2.45,-1.83,0.61,1.83,1.22,1.22,3.66,3.67,4.27,4.27,-3.05,-2.44,-2.45,-3.05
6.11,4.88,5.5,5.5,-1.83,-1.83,-1.84,-1.22,1.23,2.44,1.22,1.83,4.88,4.89,4.88,4.27,-2.44,-1.83,-3.06,-2.44
6.11,6.11,6.11,5.5,-1.22,-1.22,-1.22,-1.22,1.84,3.05,1.83,1.83,5.49,4.89,5.49,5.5,-2.44,-1.83,-3.06,-2.44
6.72,6.11,6.72,6.72,-1.83,-1.22,-1.84,-1.22,2.45,3.66,2.45,2.44,5.49,5.5,6.1,5.5,-2.44,-2.44,-2.45,-2.44
6.72,6.11,7.33,6.72,-1.22,-0.61,-1.22,-0.61,3.06,4.27,3.06,3.66,5.49,5.5,6.1,6.11,-2.44,-1.83,-2.45,-2.44
7.33,6.72,7.33,7.33,-0.61,-1.22,-1.22,-0.61,3.67,4.27,3.67,3.66,6.71,6.11,6.1,6.72,-3.05,-1.83,-2.45,-2.44
7.33,7.33,7.33,7.33,-1.22,-1.22,-1.22,-1.22,4.28,4.88,4.28,4.27,7.32,6.72,7.33,6.72,-2.44,-1.83,-2.45,-2.44
8.55,7.33,7.94,7.94,-1.83,-1.83,-2.45,-1.83,4.89,5.49,4.89,5.49,7.32,7.33,7.33,7.33,-2.44,-1.83,-1.84,-1.83
8.55,8.55,8.55,8.55,-1.83,-1.22,-1.84,-1.22,5.5,6.1,5.5,5.49,7.94,7.33,7.33,7.33,-1.83,-1.22,-2.45,-1.83
8.55,7.94,8.55,8.55,-0.61,-0.61,-0.61,0,6.11,6.72,5.5,6.1,7.94,7.94,7.94,7.94,-2.44,-1.22,-2.45,-1.83
9.16,9.16,9.16,9.16,0,0.61,0,0.61,6.72,7.33,6.11,6.1,7.94,7.94,7.94,8.55,-1.83,-0.61,-1.84,-1.83
9.77,9.16,9.77,9.78,0.61,0.61,0.61,1.22,6.72,7.94,6.72,7.33,8.55,8.55,9.16,9.16,-1.83,-0.61,-1.22,-1.83
9.77,9.77,9.77,10.39,0.61,0.61,0.61,1.22,7.94,7.94,7.33,7.94,9.16,8.55,9.16,8.55,-1.22,-0.61,-1.22,-1.22
10.38,10.38,10.38,11,0.61,1.23,1.22,1.83,8.55,9.16,8.55,7.94,9.16,9.77,9.77,9.77,-1.83,-0.61,-1.22,-1.22
10.99,10.38,10.38,10.39,1.22,1.23,1.22,1.83,9.16,9.77,9.16,9.16,10.38,9.77,9.77,10.38,-1.22,-0.61,-1.22,-1.22
11.6,10.99,10.99,11,1.83,1.84,1.22,1.83,9.77,9.77,9.77,9.16,10.38,9.77,10.38,10.38,-1.83,-0.61,-1.22,-1.22
