protein_source,protein_target,score
HAB1,ABI2,0.43
HAB1,HAI1,0.495
HAB1,PYL5,0.999
HAB1,SNRK2.2,0.999
HAB2,PYL5,0.964
HAB2,SNRK2.2,0.96
HAI2,ABI1,0.43
HAI2,ABI2,0.542
HAI2,HAI1,0.635
HAI2,PP2CA,0.444
HAI2,PYL5,0.969
HAI2,SNRK2.2,0.933
PP2CA,ABI1,0.416
PP2CA,ABI2,0.477
PP2CA,HAI1,0.723
PP2CA,PYL5,0.982
PP2CA,SNRK2.2,0.999
PYL5,ABI2,0.991
PYL5,HAI1,0.95
SNRK2.2,ABI1,0.998
SNRK2.2,ABI2,0.999
SNRK2.2,HAI1,0.953
SNRK2.2,PYL5,0.793
AT3G58720,AT5G01880,0.544
ABCB6,AT4G12980,0.846
AT1G72850,AT1G72860,0.508
SULTR1;2,APS4,0.865
LHCB4.2,PGRL1B,0.679
AT2G04090,RALFL30,0.848
AT2G04090,RLP21,0.685
AT2G32885,RALFL30,0.638
RALFL8,AT2G32885,0.901
RALFL8,RALFL30,0.712
RALFL8,RALFL9,0.477
RALFL9,RALFL30,0.711
RLP21,RALFL30,0.846
GONST3,UTR1,0.83
UTR1,ATERDJ3B,0.982
UTR3,ATERDJ3B,0.982
UTR3,UTR1,0.832
CDPK1,CPK6,0.444
CDPK1,RBOHF,0.782
OZS1,CDPK1,0.544
OZS1,CPK4,0.626
OZS1,CPK5,0.68
OZS1,CPK6,0.966
OZS1,OST1,0.999
OZS1,RBOHF,0.809
RBOHF,CPK1,0.772
RBOHF,CPK4,0.776
RBOHF,CPK5,0.843
RBOHF,CPK6,0.82
RBOHF,OST1,0.962
AT5G14120,AT5G22920,0.429
ERDL6,AT5G14120,0.407
AT1G07025,AT2G46320,0.845
AT1G07025,IMP4,0.605
AT1G07025,IREG2,0.636
AT1G07025,NDT2,0.676
AT1G07025,NRAMP2,0.624
AT1G07025,VIT1,0.606
AT1G07025,ZTP29,0.605
AT2G46320,ZTP29,0.597
FZL,AT1G07025,0.615
NDT2,VIT1,0.552
NRAMP2,AT2G46320,0.622
NRAMP2,IREG2,0.635
NRAMP2,VIT1,0.434
NRAMP2,ZTP29,0.752
VIT1,IREG2,0.808
ZTP29,IREG2,0.62
AIRP1,AIRP2,0.941
AIRP1,AT5G47610,0.745
AIRP2,AT5G47610,0.806
AT1G26800,AIRP1,0.748
AT1G26800,AIRP2,0.815
AT1G26800,AT1G55530,0.403
AT1G55530,AIRP1,0.66
AT1G55530,AIRP2,0.738
AT1G55530,AT5G47610,0.96
RHA2B,AIRP1,0.721
ENODL6,CER3,0.7
AT2G16250,AT5G49770,0.831
AT3G50230,AT5G49770,0.8
AT5G24100,AT5G49770,0.829
AT5G49770,AT5G53320,0.808
AT5G49770,AT5G60630,0.848
AT1G17910,AT3G44970,0.59
AT1G17910,RLP33,0.508
AT1G19390,AT3G44970,0.59
AT1G19390,RLP33,0.508
AT3G44970,AT4G31110,0.59
AT3G44970,DFL2,0.58
RLP33,AT3G44970,0.637
RLP33,AT4G31110,0.508
AT4G23440,AT5G17970,0.414
AT3G13070,AT4G00990,0.59
AT1G12310,AT1G76640,0.759
AT1G12310,TPC1,0.694
AT1G73440,AT1G76640,0.746
AT1G76640,TPC1,0.694
AT3G62530,MEE49,0.909
NRPA2,AT3G62530,0.905
NRPA2,MEE49,0.935
AT1G63840,AT4G39670,0.786
AT3G01830,AT4G39670,0.764
AT3G01830,CML37,0.867
AT3G01830,RHL41,0.613
AT4G39670,CML37,0.776
AT4G39670,RHL41,0.716
CML37,RHL41,0.859
AT1G33090,KT2/3,0.546
CPSF73-I,INT3,0.639
ACX4,AT5G63620,0.763
AT4G17260,AT5G63620,0.82
ATL8,ACX4,0.575
ATL8,AT5G63620,0.76
MKK4,MKK5,0.839
MKK4,MPK3,0.985
MKK4,MPK6,0.998
MKK4,YDA,0.911
MKK5,MPK3,0.932
MPK6,MKK5,0.982
MPK6,MPK3,0.806
YDA,MKK5,0.913
