protein_source,protein_target,score
AT4G12270,AT4G12280,0.596
LDL1,AT4G12270,0.655
LDL1,AT4G12280,0.655
LDL2,AT4G12270,0.655
LDL2,AT4G12280,0.655
AT1G74360,BAK1,0.873
AT1G74360,PRK6,0.798
AT1G74360,PSKR1,0.435
BAK1,PRK6,0.81
BAK1,PSKR2,0.841
PEPR2,BAK1,0.683
PEPR2,PRK6,0.798
PRK6,PSKR2,0.823
PRK6,PXY,0.814
PSKR1,BAK1,0.901
PSKR1,PRK6,0.827
TMK1,PRK6,0.827
AT4G01270,AT5G65740,0.583
AT4G01270,KAK,0.604
COP1,AT4G01270,0.778
COP1,KAK,0.782
KAK,AT5G65740,0.58
ABCB2,AT5G16740,0.692
AT5G16740,AT5G40670,0.599
PGP10,AT5G16740,0.692
AT3G21650,PP2A-4,0.96
PP2A,AT3G21650,0.955
PP2A-2,AT3G21650,0.951
PP2A-2,PP2AA3,0.993
PP2A-3,AT3G21650,0.971
PP2A-3,PP2A-4,0.911
PP2AA3,AT3G21650,0.966
PP2AA3,PP2A,0.998
PP2AA3,PP2A-3,0.989
PP2AA3,PP2A-4,0.994
CORI3,VSP2,0.689
LOX2,CORI3,0.881
LOX2,VSP2,0.915
MYC2,CORI3,0.565
MYC2,LOX2,0.808
MYC2,THI2.1,0.474
MYC2,VSP2,0.884
THI2.1,LOX2,0.444
THI2.1,VSP2,0.738
AT5G22690,CPK28,0.412
AT1G23140,AT2G38920,0.849
AT1G23140,RALFL27,0.876
AT1G23140,RALFL9,0.854
AT2G38920,RALFL27,0.874
AT2G38920,SPA2,0.618
RALFL9,AT2G38920,0.853
RALFL9,RALFL27,0.9
UBC14,AT5G42560,0.765
RLP25,AT4G16162,0.447
AMT1;4,GLT1,0.68
AMT1;4,NRT2.3,0.682
GLB1,AMT1;4,0.928
GLB1,GLT1,0.845
GLB1,NRT2.3,0.427
GLT1,NRT2.3,0.413
NRAMP5,AMT1;4,0.691
NRT2.2,AMT1;4,0.668
NRT2.2,GLB1,0.427
NRT2.2,GLT1,0.671
NRT2.5,AMT1;4,0.66
NRT2.5,GLB1,0.427
NRT2.6,AMT1;4,0.66
NRT2.6,GLB1,0.427
NRT2:1,AMT1;4,0.661
NRT2:1,GLB1,0.52
NRT2:1,GLT1,0.693
LHCA1,PSAL,0.999
LHCA3,LHCA1,0.999
LHCA3,PSAL,0.999
AT1G04850,AT1G67800,0.586
AT1G67800,AT5G04460,0.597
AT1G67800,CHIP,0.621
AT1G67800,PP2CA,0.62
HAB2,AT1G67800,0.595
AT1G68400,AT1G75640,0.848
AT1G68400,AT2G02780,0.836
AT1G68400,AT3G56370,0.847
AT1G68400,AT4G26540,0.834
AT1G68400,AT4G36180,0.842
AT1G68400,At3g49670,0.841
AT1G68400,MPA24.5,0.844
AT2G02780,AT4G26540,0.841
AT2G02780,AT4G36180,0.615
AT2G02780,At3g49670,0.612
AT2G02780,MPA24.5,0.807
AT3G56370,AT4G36180,0.49
AT3G56370,MPA24.5,0.494
AT4G26540,MPA24.5,0.811
At3g49670,AT3G56370,0.446
At3g49670,MPA24.5,0.458
AT1G72550,AT3G23145,0.989
AT1G72550,AT4G10320,0.992
AT1G72550,AT5G26710,0.982
AT1G72550,OVA6,0.994
AT3G23145,AT5G26710,0.999
AT3G23145,OVA6,0.994
AT4G10320,AT5G26710,0.999
AT4G10320,OVA6,0.995
AT5G26710,OVA6,0.969
At5g46330,RBOHD,0.692
BAK1,At5g46330,0.999
BAK1,BRI1,0.999
BAK1,EFR,0.883
BAK1,RBOHD,0.921
BRI1,EFR,0.85
BRI1,RBOHD,0.619
CRT3,BRI1,0.846
CRT3,EFR,0.857
EFR,At5g46330,0.861
EFR,RBOHD,0.947
BZIP24,ZIP2,0.655
ZIP1,BZIP24,0.645
ZIP1,ZIP2,0.42
ZIP11,BZIP24,0.704
AT1G56145,PDLP6,0.59
PDLP6,IMK2,0.634
AT5G58330,DIT2.1,0.841
BASS2,AT5G58330,0.639
BASS2,DIT2.1,0.754
BASS2,DiT1,0.669
DiT1,AT5G58330,0.843
DiT1,DIT2.1,0.705
GLU1,AT5G58330,0.726
GLU1,DIT2.1,0.664
GLU1,DiT1,0.523
LrgB,AT5G58330,0.487
LrgB,DIT2.1,0.876
LrgB,DiT1,0.882
LrgB,GLU1,0.822
LrgB,SHM1,0.753
SHM1,AT5G58330,0.589
SHM1,DIT2.1,0.67
SHM1,DiT1,0.712
SHM1,GLU1,0.981
KEG,ATL63,0.649
UBP15,ATL63,0.638
ZFP4,FRS8,0.426
ZFP7,FRS8,0.693
LETM2,AT5G24870,0.414
STOP1,AT5G24870,0.543
STOP1,LETM2,0.589
AT1G50400,AT3G27240,0.933
AT1G50400,OEP16-3,0.967
AT1G50400,TIM10,0.937
AT1G50400,TIM9,0.869
AT1G50400,TOM22-V,0.995
AT1G50400,TOM40,0.547
AT3G27240,TOM22-V,0.898
OEP16-3,AT3G27240,0.944
OEP16-3,TIM9,0.985
OEP16-3,TOM22-V,0.956
OEP16-3,TOM40,0.967
TIM10,OEP16-3,0.987
TIM10,TIM9,0.999
TIM10,TOM22-V,0.981
TIM10,TOM40,0.99
TIM9,TOM22-V,0.956
TOM40,AT3G27240,0.936
TOM40,TIM9,0.978
TOM40,TOM22-V,0.999
AT1G06840,AT1G61850,0.904
AT1G06840,MCM5,0.764
AT1G61850,MCM5,0.773
DGL,AT1G61850,0.742
AT2G36930,eIF6A,0.997
RLP4,RLP13,0.407
RLP4,RLP56,0.402
AT3G08650,ZTP29,0.417
IAR1,AT3G08650,0.918
IAR1,NRAMP4,0.686
IAR1,ZIP7,0.873
IAR1,ZTP29,0.889
NRAMP2,IAR1,0.633
NRAMP2,ZIP7,0.572
NRAMP2,ZTP29,0.752
NRT2.2,ZIP7,0.593
NRT2:1,ZIP7,0.593
ZIP7,AT3G08650,0.913
ZIP7,NRAMP4,0.574
ZIP7,NRT2.4,0.615
ZIP7,ZTP29,0.914
ZTP29,NRAMP4,0.655
ABA4,ABCB26,0.754
ABCB23,ABCF5,0.496
ABCB24,ABCF5,0.496
ABCB25,ABCF5,0.496
ABCB26,ABCB23,0.739
ABCB26,ABCB24,0.739
ABCB26,ABCB25,0.763
ABCB26,ABCF5,0.709
NPC4,CLS,0.9
NPC4,PLDALPHA1,0.872
PLDALPHA1,CLS,0.464
ABCG16,AT5G17700,0.582
AT1G08440,ABCG16,0.599
AT1G08440,AT1G33440,0.631
AT1G08440,AT1G71140,0.626
AT1G08440,AT5G17700,0.619
AT1G08440,G3Pp3,0.616
AT1G18420,ABCG16,0.599
AT1G18420,AT1G33440,0.631
AT1G18420,AT1G71140,0.626
AT1G18420,AT5G17700,0.619
AT1G18420,G3Pp3,0.616
AT1G33440,ABCG16,0.593
AT1G33440,AT1G71140,0.619
AT1G33440,AT5G17700,0.616
AT1G71140,ABCG16,0.591
AT1G71140,GTR1,0.418
G3Pp3,ABCG16,0.574
G3Pp3,AT1G33440,0.662
G3Pp3,AT1G71140,0.604
G3Pp3,AT5G17700,0.6
G3Pp3,GTR1,0.471
GTR1,ABCG16,0.519
DUT1,NDPK2,0.986
HEME2,NDPK2,0.95
MPK3,NDPK2,0.981
AT3G10300,UNE14,0.805
TPC1,UNE14,0.694
EGY3,FTSH6,0.82
FTSH6,LHCB3,0.758
FTSH6,PHB3,0.714
MPPBETA,FTSH6,0.785
MPPBETA,PHB3,0.806
AT1G18320,AT1G50400,0.931
AT1G18320,ATOEP16-4,0.54
AT1G18320,OEP16-1,0.639
AT1G20816,AT1G45170,0.859
AT1G20816,AT1G50400,0.54
AT1G20816,ATOEP16-4,0.54
AT1G20816,OEP16-1,0.54
AT1G20816,OEP37,0.54
AT1G45170,AT1G50400,0.54
AT1G45170,ATOEP16-4,0.54
AT1G45170,OEP16-1,0.577
AT1G45170,OEP37,0.611
AT1G50400,ATOEP16-4,0.54
AT1G50400,OEP16-1,0.54
AT1G50400,OEP37,0.54
OEP16-1,ATOEP16-4,0.856
OEP16-1,OEP37,0.958
OEP37,ATOEP16-4,0.783
AT4G27280,At5g54490,0.85
STZ,AT4G27280,0.913
STZ,At5g54490,0.875
STZ,TCH3,0.487
TCH3,AT4G27280,0.468
TCH3,At5g54490,0.9
GPRI1,GUN1,0.812
GPRI1,GUN5,0.725
GPRI1,LHCB4.2,0.673
GUN1,GUN5,0.919
LHCB4.2,GUN5,0.755
LHCB6,GPRI1,0.753
LHCB6,GUN5,0.879
LHCB6,LHCB4.2,0.994
ABI1,ABI2,0.462
ABI1,GTG2,0.619
ABI1,GUN5,0.599
GCR1,Cand6,0.63
GCR1,GPA1,0.998
GCR1,GTG2,0.692
GPA1,ABI1,0.443
GPA1,ABI2,0.441
GPA1,Cand6,0.463
GPA1,GTG2,0.927
GTG2,ABI2,0.618
GTG2,Cand6,0.594
GTG2,GUN5,0.699
GUN5,ABI2,0.598
PYL2,ABI1,0.996
PYL2,ABI2,0.998
PYL2,GTG2,0.593
PYL2,GUN5,0.497
PYR1,ABI1,0.999
PYR1,ABI2,0.998
PYR1,GTG2,0.618
PYR1,GUN5,0.637
SDF2,AT5G38895,0.512
AT3G01830,AT3G47480,0.898
AT3G01830,AT5G39670,0.878
AT3G01830,BAP1,0.822
AT3G01830,CML37,0.867
AT3G47480,AT5G39670,0.788
AT3G47480,CML37,0.629
AT5G39670,CML37,0.739
BAP1,AT5G39670,0.424
BAP1,CML37,0.81
ABCB28,AT5G52450,0.637
AT3G21690,ABCB28,0.632
CJD1,ABCB28,0.621
AT1G79620,AT2G45340,0.798
AT1G79620,AT3G47580,0.831
AT1G79620,AT3G50230,0.798
AT1G79620,AT5G24100,0.798
AT1G79620,HAE,0.831
AT2G45340,AT3G47580,0.798
AT3G47580,AT3G50230,0.831
AT3G47580,AT5G10290,0.832
AT3G47580,AT5G24100,0.798
AT3G47580,BAK1,0.831
AT3G47580,HAE,0.819
RKL1,AT3G47580,0.798
BBX27,LYK4,0.548
CERK1,AT5G49960,0.604
LYK4,AT5G49960,0.495
LYK4,CERK1,0.529
AOC4,ILL6,0.747
AOC4,JMT,0.805
AOC4,LOX2,0.746
AOC4,OPCL1,0.808
AOC4,OPR2,0.901
AOC4,OPR3,0.936
ILL6,OPR3,0.807
JMT,ILL6,0.451
JMT,LOX2,0.659
JMT,OPCL1,0.628
JMT,OPR2,0.619
JMT,OPR3,0.752
OPCL1,LOX2,0.645
OPCL1,OPR2,0.832
OPCL1,OPR3,0.997
OPR2,LOX2,0.598
OPR2,OPR3,0.813
OPR3,LOX2,0.856
TIC110,OEP80,0.993
TIC110,TIC40,0.999
TIC110,TOC159,0.999
TIC110,TOC34,0.965
TIC110,TOC75-III,0.999
TIC40,OEP80,0.992
TOC159,OEP80,0.994
TOC159,TIC40,0.958
TOC159,TOC34,0.848
TOC34,OEP80,0.995
TOC34,TIC40,0.957
TOC75-III,OEP80,0.771
TOC75-III,TIC40,0.992
TOC75-III,TOC159,0.999
TOC75-III,TOC34,0.998
Tic20-I,OEP80,0.96
Tic20-I,TIC110,0.995
Tic20-I,TIC40,0.988
Tic20-I,TOC159,0.934
Tic20-I,TOC34,0.964
Tic20-I,TOC75-III,0.984
FRO2,IRT1,0.978
FRO2,IRT2,0.914
FRO2,NRAMP1,0.879
FRO2,VIT1,0.735
IRT2,IRT1,0.423
NRAMP1,IRT1,0.959
NRAMP1,IRT2,0.812
NRAMP1,VIT1,0.81
VIT1,IRT1,0.872
VIT1,IRT2,0.627
AT1G67510,AT1G68400,0.798
AT1G67510,AT4G36180,0.831
AT1G67510,BAK1,0.805
AT1G68400,AT4G36180,0.842
AT1G68400,BAM3,0.831
AT4G36180,AT5G63710,0.831
BAK1,AT4G36180,0.831
BAM3,AT4G36180,0.847
BAM3,BAK1,0.844
AT3G05300,DUT1,0.661
AT3G05300,EMB2820,0.965
DUT1,EMB2820,0.661
RALFL11,AT2G32885,0.911
RALFL11,NPG1,0.589
RALFL11,RALFL19,0.901
RALFL19,NPG1,0.463
RALFL8,AT2G32885,0.901
RALFL8,RALFL11,0.918
RALFL8,RALFL19,0.623
RALFL8,RALFL9,0.477
RALFL9,RALFL11,0.911
AT1G54730,GONST1,0.499
AT1G54730,UTR2,0.636
AT1G54730,UTR6,0.636
AT3G05155,UTR2,0.637
AT3G05155,UTR6,0.638
AT4G04760,UTR2,0.635
GONST1,AT3G05155,0.591
GONST1,AT4G04760,0.532
GONST1,UTR2,0.623
GONST1,UTR6,0.73
SUT4,AT1G54730,0.442
SUT4,UTR6,0.601
UTR6,AT4G04760,0.636
UTR6,UTR2,0.714
APG10,AT5G09630,0.616
APG10,AT5G38000,0.846
AT5G09630,AT5G38000,0.746
RCP1,APE2,0.807
CNGC16,At5g46330,0.6
CNGC16,PSKR2,0.604
CPK20,CNGC16,0.672
GLR1.4,CNGC16,0.593
AT1G61890,AT1G63010,0.695
AT1G61890,BSK6,0.85
AT1G61890,eIFiso4G2,0.823
AT1G63010,BSK6,0.568
AT1G63010,eIFiso4G2,0.514
eIFiso4G2,BSK6,0.618
HAB1,OST1,0.999
HAB1,PYL10,0.999
HAB1,PYL2,0.999
HAB1,PYL3,0.999
HAB1,PYL4,0.999
HAB1,PYL5,0.999
HAB1,PYL6,0.999
HAB1,PYR1,0.999
HAB1,RCAR3,0.999
HAB1,SNRK2.2,0.999
OST1,PYL5,0.744
OST1,RCAR3,0.742
PYL10,OST1,0.637
PYL2,OST1,0.846
PYL2,SNRK2.2,0.874
PYL3,OST1,0.616
PYL3,SNRK2.2,0.637
PYL4,OST1,0.825
PYL4,PYL5,0.735
PYL4,PYL6,0.689
PYL4,SNRK2.2,0.848
PYL6,OST1,0.592
PYL6,PYL5,0.69
PYL6,SNRK2.2,0.599
PYR1,OST1,0.932
SNRK2.2,OST1,0.614
SNRK2.2,PYL10,0.615
SNRK2.2,PYL5,0.793
SNRK2.2,PYR1,0.956
SNRK2.2,RCAR3,0.815
AT1G33080,NBR1,0.593
AT1G33080,PHF1,0.619
AT1G33080,PP2-A8,0.581
AT1G33080,SSL2,0.615
AT4G26470,AT5G18610,0.603
LYM3,AT5G18610,0.62
ROP9,AT5G18610,0.618
AT2G46520,AT3G08943,0.979
AT2G46520,AT3G08947,0.979
AT2G46520,AT4G27640,0.99
AT2G46520,AT5G53480,0.98
AT3G08943,AT3G08947,0.813
AT3G08943,AT4G27640,0.92
AT3G08943,AT5G53480,0.8
AT3G08947,AT4G27640,0.918
AT3G08947,AT5G53480,0.8
AT4G27640,AT5G53480,0.928
NUP155,AT2G46520,0.965
NUP155,AT3G08943,0.85
NUP155,AT3G08947,0.837
NUP155,AT4G27640,0.744
NUP155,AT5G53480,0.833
LSH2,ROS3,0.512
RDH2,STR18,0.689
At2g21970,At4g34190,0.912
At2g21970,OHP,0.635
At4g34190,ENH1,0.945
At4g34190,OHP,0.907
OHP,ENH1,0.561
ABCC5,RPT3,0.687
RALF1,HERK2,0.819
AT1G18530,CBL6,0.679
AT1G73630,CBL6,0.74
AT3G03000,CBL6,0.695
AT4G03290,CBL6,0.731
SOL1,DEG10,0.638
SOL1,DEG9,0.637
SOL1,UMAMIT41,0.912
UMAMIT41,DEG10,0.807
UMAMIT41,DEG9,0.803
CRY2,ckl4,0.853
DEX1,NEF1,0.908
DEX1,NPU,0.93
DEX1,SWEET8,0.872
NEF1,SWEET8,0.734
NPU,NEF1,0.639
NPU,SWEET8,0.862
STP14,SWEET8,0.701
AT1G13195,AP4.3A,0.683
AT1G13195,AT2G03240,0.638
AT1G13195,MAPKKK17,0.58
AT2G03240,AP4.3A,0.64
AT2G03240,MAPKKK17,0.546
MAPKKK17,AP4.3A,0.648
F5M15.5,ACX1,0.974
AT59,sks14,0.879
IREG1,IREG3,0.418
sks14,IREG1,0.534
sks14,IREG2,0.534
sks14,IREG3,0.534
sks14,RALFL9,0.437
ELO1,ABO1,0.999
ELO1,ELP6,0.999
ELP2,ABO1,0.999
ELP2,ELO1,0.999
ELP2,ELP6,0.989
ELP2,MCM5,0.811
ELP6,ABO1,0.99
MCM5,ABO1,0.929
MCM5,ELO1,0.743
MCM5,ELP6,0.697
MAC3A,MAC3B,0.813
MAC3A,MAC5A,0.988
MAC3A,MOS4,0.999
MAC3A,PRL1,0.997
MAC3A,emb1507,0.999
MAC3B,MOS4,0.999
MAC3B,PRL1,0.998
MAC5A,MAC3B,0.973
MAC5A,MOS4,0.99
MAC5A,PRL1,0.987
MAC5A,emb1507,0.999
MOS4,PRL1,0.999
emb1507,MAC3B,0.999
emb1507,MOS4,0.999
emb1507,PRL1,0.999
AT3G27240,AT3G28580,0.669
AT3G27240,AT5G40810,0.914
AT3G28580,AT3G63380,0.698
AT3G28580,AT5G40810,0.669
AT3G28580,LECRKA4.1,0.681
DR4,AT3G28580,0.626
DR4,LECRKA4.1,0.426
AMT1;1,GLU1,0.75
GLB1,AMT1;1,0.92
GLB1,GLU1,0.863
NRT1.1,AMT1;1,0.855
NRT1.1,GLU1,0.63
NRT2.2,AMT1;1,0.856
NRT2.2,GLB1,0.427
NRT2.2,GLU1,0.709
NRT2.2,NRT1.1,0.967
NRT2:1,AMT1;1,0.897
NRT2:1,GLB1,0.52
NRT2:1,GLU1,0.753
NRT2:1,NRT1.1,0.967
AT1G29830,PRH75,0.544
PIF3,AT1G29830,0.414
NRPA2,AT5G25490,0.864
SOUL-1,FIB,0.637
SOUL-1,HYH,0.687
AT1G61850,UMAMIT8,0.544
UMAMIT8,MSS1,0.547
AT1G06840,AT1G61850,0.904
AT1G06840,AT2G45340,0.849
AT1G06840,DDI1,0.9
AT1G06840,GSO1,0.841
AT1G06840,TE1,0.86
AT1G61850,TE1,0.597
TE1,GSO1,0.624
ALMT6,AT4G17585,0.726
AT1G18420,AT4G17585,0.848
AT1G25480,AT4G17585,0.871
AT1G68600,AT4G17585,0.958
CPK19,AMT1;3,0.61
CPK19,GLR3.5,0.615
CPK19,RBOHD,0.675
CPK19,RHD2,0.645
GLR3.5,AMT1;3,0.471
ABCC10,CHX18,0.482
ABCG39,ABCC10,0.673
ABCG39,CHX18,0.65
ABCG39,HAK5,0.689
ABCG39,KT2,0.707
ABCG39,KUP6,0.706
HAK5,CHX18,0.463
KT2,CHX18,0.698
KUP6,CHX18,0.673
AAO1,MYB96,0.616
AAO3,ABCG22,0.713
AAO3,AT5G52050,0.418
AAO3,MYB30,0.416
AAO3,MYB96,0.595
ABCG22,AAO1,0.714
ABCG22,AT5G52050,0.743
ABCG22,MYB96,0.867
MYB30,AAO1,0.416
MYB30,ABCG22,0.701
ABCD2,ABCG5,0.612
ABCG5,APC3,0.637
AT1G71870,ABCG5,0.856
RLP19,AT5G12400,0.403
RLP19,AT5G22320,0.428
ABC1,ABCD1,0.818
ABCI13,ABCI15,0.981
ABCI15,ABC1,0.702
ABCI15,ABCD1,0.77
XIF,ABC1,0.703
XIF,ABCD1,0.654
XIF,ABCI15,0.706
BAK1,EFR,0.883
CERK1,BAK1,0.542
CERK1,EFR,0.54
CERK1,RLP44,0.421
LYK3,LYM3,0.657
LYK3,RLP23,0.452
LYM3,BAK1,0.634
LYM3,CERK1,0.934
LYM3,EFR,0.68
LYM3,ENODL14,0.625
LYM3,RLP23,0.7
LYM3,RLP44,0.752
PEPR1,BAK1,0.852
PEPR1,CERK1,0.465
PEPR1,LYM3,0.637
RLP23,BAK1,0.507
RLP23,CERK1,0.718
RLP23,EFR,0.418
RLP44,BAK1,0.762
MYA1,FIM1,0.722
MYA1,SEC10,0.694
MYA1,SEC6,0.69
SEC6,SEC10,0.999
PHT1;5,PHT2;1,0.86
PHT1;5,PHT4;2,0.749
PHT1;8,PHT2;1,0.864
PHT1;8,PHT4;2,0.621
PHT1;9,PHT2;1,0.895
PHT1;9,PHT4;2,0.616
PHT2;1,PHT1;1,0.939
PHT4;2,CLC-E,0.598
PHT4;2,PHT1;1,0.638
PHT4;2,PHT2;1,0.651
PHT4;2,TAAC,0.615
MGT3,MHX,0.809
MGT3,PPa4,0.521
AT2G45530,OS9,0.491
NF-YB10,NF-YC4,0.983
NF-YB6,NF-YC4,0.975
AT4G14160,AT5G38380,0.66
AT3G16120,AT4G15420,0.691
RPL40A,AT3G16120,0.683
RPL40A,AT4G15420,0.693
CERK1,AT5G49960,0.604
CNGC14,AT5G49960,0.632
CNGC15,AT5G49960,0.953
EIN2,AT5G49960,0.607
ABI1,ABI2,0.462
ABI1,HAI1,0.697
ABI1,PYL12,0.922
ABI2,HAI1,0.512
HAB1,ABI2,0.43
HAB1,HAI1,0.495
HAB1,PYL12,0.976
HAB1,SNRK2.2,0.999
HAB2,PYL12,0.754
HAB2,SNRK2.2,0.96
HAI2,ABI1,0.43
HAI2,ABI2,0.542
HAI2,HAI1,0.635
HAI2,PP2CA,0.444
HAI2,PYL12,0.879
HAI2,SNRK2.2,0.933
PP2CA,ABI1,0.416
PP2CA,ABI2,0.477
PP2CA,HAI1,0.723
PP2CA,PYL12,0.973
PP2CA,SNRK2.2,0.999
PYL12,ABI2,0.845
PYL12,HAI1,0.724
SNRK2.2,ABI1,0.998
SNRK2.2,ABI2,0.999
SNRK2.2,HAI1,0.953
SNRK2.2,PYL12,0.642
AAP1,AT5G14940,0.487
AAP1,OPT5,0.424
AAP8,AT5G14940,0.487
AT1G08230,AT5G14940,0.509
AT5G14940,AAP6,0.487
AT5G14940,AT5G41800,0.509
AT5G14940,AT5G65000,0.594
AT5G14940,OPT1,0.538
KT2,AT5G14940,0.595
OPT5,AT5G14940,0.538
BSK4,AT5G11250,0.808
PP2A,FASS,0.969
PP2A-2,FASS,0.979
PP2A-2,PP2AA3,0.993
PP2A-3,FASS,0.936
PP2A-3,PP2A-4,0.911
PP2A-4,FASS,0.938
PP2AA3,FASS,0.949
PP2AA3,PP2A,0.998
PP2AA3,PP2A-3,0.989
PP2AA3,PP2A-4,0.994
AMT1;4,NRT2.3,0.682
AMT1;4,NRT2.4,0.655
AMT1;4,NRT2.7,0.621
AMT1;5,NRT2.3,0.681
AMT1;5,NRT2.4,0.711
AMT1;5,NRT2.6,0.654
AMT1;5,NRT2.7,0.602
NRT1.6,AMT1;4,0.61
NRT1.6,AMT1;5,0.606
NRT1.6,NRT2.3,0.606
NRT1.6,NRT2.4,0.75
NRT1.6,NRT2.6,0.629
NRT1.6,NRT2.7,0.834
NRT2.2,AMT1;4,0.668
NRT2.2,AMT1;5,0.688
NRT2.2,NRT1.6,0.752
NRT2.5,AMT1;4,0.66
NRT2.5,AMT1;5,0.553
NRT2.5,NRT1.6,0.648
NRT2.6,AMT1;4,0.66
NRT2:1,AMT1;4,0.661
NRT2:1,AMT1;5,0.655
NRT2:1,NRT1.6,0.749
UPS2,AT2G04050,0.615
ANTR2,PHT1;6,0.593
PHO1,PHT1;6,0.608
PHO1,PHT2;1,0.771
PHT2;1,ANTR2,0.783
PHT2;1,PHT1;6,0.834
PHT2;1,PHT4;3,0.62
PHT2;1,PHT4;5,0.718
PHT4;2,PHT1;6,0.591
PHT4;2,PHT2;1,0.651
PHT4;3,PHT1;6,0.637
PHT4;5,PHT1;6,0.626
NAT7,AZG1,0.749
NAT7,AZG2,0.764
ATGLR1.2,AT5G62890,0.809
AZG1,AT5G62890,0.94
AZG2,AT5G62890,0.931
CAT4,AT5G62890,0.636
AAT1,OPT4,0.633
CAT7,OPT4,0.72
GABP,AAT1,0.759
GABP,CAT7,0.61
GABP,OPT4,0.629
YSL1,OPT4,0.744
YSL2,OPT4,0.768
YSL3,OPT4,0.653
YSL4,OPT4,0.764
YSL5,OPT4,0.641
YSL6,OPT4,0.857
YSL8,OPT4,0.702
CNGC17,BAK1,0.823
PSKR1,BAK1,0.901
PSKR1,CNGC17,0.853
PSKR1,MPA24.5,0.84
SERK2,MPA24.5,0.822
SERK2,PSKR1,0.932
TPST,PSKR1,0.871
AT4G39270,AT5G59670,0.831
AT5G59670,MPA24.5,0.831
At3g49670,AT4G39270,0.798
At3g49670,AT5G59670,0.865
At3g49670,MPA24.5,0.458
BAM3,AT4G39270,0.814
BAM3,AT5G59670,0.831
RKL1,AT5G59670,0.798
AT1G48570,MAPKKK5,0.581
AT1G55040,MAPKKK5,0.615
AT2G17975,MAPKKK5,0.616
BSK1,MAPKKK5,0.622
BSK6,BSK1,0.511
BSK6,MAPKKK5,0.619
MKK3,MAPKKK5,0.572
NBR1,MAPKKK5,0.663
SEC6,SEC10,0.999
XIA,SEC10,0.694
XIA,SEC6,0.69
AT1G69480,AAP4,0.637
AT1G69480,SWEET13,0.586
AT1G72130,CLC-B,0.654
AT1G72130,GABP,0.519
AT1G72130,GLR2.6,0.582
AT1G72130,SULTR4;1,0.596
GABP,CLC-B,0.423
GABP,GLR2.6,0.428
PEPR1,AT4G29450,0.842
PEPR1,BAK1,0.852
ABCF5,ABA1,0.863
AT3G54500,ABA1,0.858
AT3G54500,ABCF5,0.851
AT3G54500,AT5G64170,0.928
AT5G64170,ABA1,0.738
AT5G64170,ABCF5,0.421
AT1G14390,AT1G34110,0.861
AT1G14390,AT1G53430,0.878
AT1G14390,AT1G56140,0.863
AT1G14390,AT2G24230,0.863
AT1G14390,AT5G01950,0.86
AT1G14390,AT5G37450,0.882
AT1G14390,FEI1,0.871
AT1G34110,AT1G53430,0.413
AT1G34110,AT1G56140,0.412
AT1G34110,AT5G01950,0.401
AT1G34110,AT5G37450,0.413
AT1G64650,SULTR3;2,0.543
AT3G49310,SULTR3;2,0.543
MOT2,SULTR3;2,0.592
RDH2,MOT2,0.514
RDH2,SULTR3;2,0.54
SULTR3;2,AT4G27720,0.543
SULTR3;2,HAK5,0.571
ABCB1,AUX1,0.733
ABCB1,FKBP15-2,0.809
ATERDJ2B,AT5G16680,0.605
KEG,AT5G16680,0.567
ZIP6,AT5G16680,0.543
ZIP6,KEG,0.691
APX1,DHAR1,0.991
APX1,SAPX,0.529
APX1,TAPX,0.466
DHAR1,APX3,0.988
DHAR1,SAPX,0.957
DHAR1,TAPX,0.944
SAPX,APX3,0.473
TAPX,APX3,0.493
FZL,AT5G37610,0.869
FZL,MIRO2,0.775
FZL,VDAC1,0.869
FZL,VDAC2,0.869
FZL,VDAC3,0.869
FZL,VDAC4,0.869
FZL,VDAC5,0.869
MIRO2,AT5G37610,0.828
MIRO2,VDAC2,0.828
MIRO2,VDAC3,0.828
MIRO2,VDAC4,0.834
VDAC1,MIRO2,0.828
VDAC1,VDAC2,0.649
VDAC1,VDAC3,0.665
VDAC1,VDAC4,0.575
VDAC1,VDAC5,0.574
VDAC3,VDAC2,0.604
VDAC3,VDAC4,0.572
VDAC4,VDAC2,0.576
VDAC5,MIRO2,0.828
VDAC5,VDAC2,0.553
VDAC5,VDAC3,0.584
VDAC5,VDAC4,0.597
AT1G06470,AT5G41760,0.591
AT3G44630,AT5G41760,0.617
AT3G44670,AT5G41760,0.654
AT5G41740,AT5G41750,0.477
AT5G41740,AT5G41760,0.593
AT5G41750,AT5G41760,0.597
AT2G19940,AT2G37500,0.995
AT2G19940,NAGK,0.999
AT2G37500,NAGK,0.999
OTC,AT2G19940,0.993
OTC,AT2G37500,0.999
OTC,NAGK,0.996
AT1G53210,MHX,0.839
MGT2,MHX,0.807
MGT3,MHX,0.809
MHX,MGT7,0.757
MHX,NRAMP4,0.896
AT1G78230,D2HGDH,0.672
ECA3,IAR1,0.441
ECA3,MTP11,0.921
IAR1,MTP11,0.883
IAR1,MTPA2,0.869
IAR1,ZAT,0.886
MTP11,MTPA2,0.941
MTP11,ZAT,0.971
AGD4,NDT1,0.528
CIPK23,CBL2,0.996
SIP3,CBL2,0.971
SIP4,CBL2,0.999
AT1G34110,AT1G53430,0.413
AT1G34110,AT3G21340,0.432
AT1G34110,AT4G31250,0.856
AT1G34110,AT5G37450,0.413
AT1G53430,AT1G74360,0.415
AT1G53430,AT4G31250,0.827
